domain,ip,shodan_ip,ports,vulns,tags,flame_tp_ids,hostnames,os,priority,reason
10betcasinomx.net,104.21.27.149,104.21.27.149,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,"TP-0036,TP-0051",www.smtp.breadloaf.com;breadloaf.com;corbusier.breadloaf.com,,0,"FLAME:TP-0036,TP-0051"
081430.xyz,172.67.177.230,172.67.177.230,8080;2082;2083;2052;2053;2086;2087;2095;80;8880;8443;443,,cdn,TP-0079,garden.pittsburghkids.org;fundacion.sener,,0,FLAME:TP-0079
0543sh.com,154.213.68.100,154.213.68.100,80,,,"TP-0032, TP-0049",,,0,"FLAME:TP-0032, TP-0049"
6url.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
7k.boats,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
7mca.stellas.store,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
7mail7.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
8020solutions.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
81mail.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
999c9.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
a-q.xyz,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aaaeee.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aanconsulting.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aahaha.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abah.xyz,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aamail.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aatt.net,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abc123.space,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abone.us,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abki.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abroadschools.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
abmail.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acerealtygroup.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
accesspower.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
accidentalbusiness.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
aceupthesleeve.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
achillesinvestments.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acro.app,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acemovingservices.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acike.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acwiki.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
acgcdn.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
achillesinvestment.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
adgjmp.gse.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
adesktop.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
adi.net,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
adminzoom.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
