domain,priority,reason
450gmail.com,1,Combo-squat: gmail
451gmail.com,1,Combo-squat: gmail
453gmail.com,1,Combo-squat: gmail
455gmail.com,1,Combo-squat: gmail
456gmail.com,1,Combo-squat: gmail
459gmail.com,1,Combo-squat: gmail
45gmail.com,1,Combo-squat: gmail
460gmail.com,1,Combo-squat: gmail
465gmail.com,1,Combo-squat: gmail
466gmail.com,1,Combo-squat: gmail
467gmail.com,1,Combo-squat: gmail
46gmail.com,1,Combo-squat: gmail
471gmail.com,1,Combo-squat: gmail
473gmail.com,1,Combo-squat: gmail
474gmail.com,1,Combo-squat: gmail
475gmail.com,1,Combo-squat: gmail
47gmail.com,1,Combo-squat: gmail
480gmail.com,1,Combo-squat: gmail
481gmail.com,1,Combo-squat: gmail
486gmail.com,1,Combo-squat: gmail
487gmail.com,1,Combo-squat: gmail
488gmail.com,1,Combo-squat: gmail
48gmail.com,1,Combo-squat: gmail
490gmail.com,1,Combo-squat: gmail
491gmail.com,1,Combo-squat: gmail
499gmail.com,1,Combo-squat: gmail
49gmail.com,1,Combo-squat: gmail
4cities.com,1,Combo-squat: citi
4etoro.com,1,Combo-squat: etoro
4etrade.com,1,Combo-squat: etrade
4exodus.com,1,Combo-squat: exodus
4gmail.com,1,Combo-squat: gmail
5.u.gmail3.com.5.6.g.k.h.6.h.cad.creou.dev,1,Combo-squat: gmail
501gmail.com,1,Combo-squat: gmail
502gmail.com,1,Combo-squat: gmail
504gmail.com,1,Combo-squat: gmail
505gmail.com,1,Combo-squat: gmail
506gmail.com,1,Combo-squat: gmail
507gmail.com,1,Combo-squat: gmail
508gmail.com,1,Combo-squat: gmail
50gmail.com,1,Combo-squat: gmail
510gmail.com,1,Combo-squat: gmail
511gmail.com,1,Combo-squat: gmail
512gmail.com,1,Combo-squat: gmail
514gmail.com,1,Combo-squat: gmail
517gmail.com,1,Combo-squat: gmail
518gmail.com,1,Combo-squat: gmail
520gmail.com,1,Combo-squat: gmail
521gmail.com,1,Combo-squat: gmail
522gmail.com,1,Combo-squat: gmail
523gmail.com,1,Combo-squat: gmail
524gmail.com,1,Combo-squat: gmail
525gmail.com,1,Combo-squat: gmail
526gmail.com,1,Combo-squat: gmail
528gmail.com,1,Combo-squat: gmail
52gmail.com,1,Combo-squat: gmail
535gmail.com,1,Combo-squat: gmail
536gmail.com,1,Combo-squat: gmail
53gmail.com,1,Combo-squat: gmail
540gmail.com,1,Combo-squat: gmail
541gmail.com,1,Combo-squat: gmail
545gmail.com,1,Combo-squat: gmail
546gmail.com,1,Combo-squat: gmail
547gmail.com,1,Combo-squat: gmail
549gmail.com,1,Combo-squat: gmail
54gmail.com,1,Combo-squat: gmail
550gmail.com,1,Combo-squat: gmail
551gmail.com,1,Combo-squat: gmail
553gmail.com,1,Combo-squat: gmail
5555gmail.com,1,Combo-squat: gmail
555gmail.com,1,Combo-squat: gmail
556gmail.com,1,Combo-squat: gmail
55gmail.com,1,Combo-squat: gmail
560gmail.com,1,Combo-squat: gmail
563gmail.com,1,Combo-squat: gmail
565gmail.com,1,Combo-squat: gmail
566gmail.com,1,Combo-squat: gmail
567gmail.com,1,Combo-squat: gmail
568gmail.com,1,Combo-squat: gmail
569gmail.com,1,Combo-squat: gmail
56gmail.com,1,Combo-squat: gmail
570gmail.com,1,Combo-squat: gmail
573gmail.com,1,Combo-squat: gmail
574gmail.com,1,Combo-squat: gmail
575gmail.com,1,Combo-squat: gmail
576gmail.com,1,Combo-squat: gmail
577gmail.com,1,Combo-squat: gmail
578gmail.com,1,Combo-squat: gmail
57gmail.com,1,Combo-squat: gmail
580gmail.com,1,Combo-squat: gmail
581gmail.com,1,Combo-squat: gmail
587gmail.com,1,Combo-squat: gmail
588gmail.com,1,Combo-squat: gmail
58gmail.com,1,Combo-squat: gmail
590gmail.com,1,Combo-squat: gmail
594gmail.com,1,Combo-squat: gmail
595gmail.com,1,Combo-squat: gmail
59gmail.com,1,Combo-squat: gmail
5gmail.com,1,Combo-squat: gmail
5tesla.com,1,Combo-squat: tesla
5travelers.com,1,Combo-squat: travelers
602gmail.com,1,Combo-squat: gmail
603gmail.com,1,Combo-squat: gmail
605gmail.com,1,Combo-squat: gmail
608gmail.com,1,Combo-squat: gmail
60gmail.com,1,Combo-squat: gmail
611gmail.com,1,Combo-squat: gmail
613gmail.com,1,Combo-squat: gmail
619gmail.com,1,Combo-squat: gmail
61gmail.com,1,Combo-squat: gmail
620gmail.com,1,Combo-squat: gmail
622gmail.com,1,Combo-squat: gmail
623gmail.com,1,Combo-squat: gmail
624gmail.com,1,Combo-squat: gmail
625gmail.com,1,Combo-squat: gmail
626gmail.com,1,Combo-squat: gmail
627gmail.com,1,Combo-squat: gmail
628gmail.com,1,Combo-squat: gmail
62gmail.com,1,Combo-squat: gmail
631gmail.com,1,Combo-squat: gmail
634gmail.com,1,Combo-squat: gmail
638gmail.com,1,Combo-squat: gmail
639gmail.com,1,Combo-squat: gmail
63gmail.co.com,1,Combo-squat: gmail
63gmail.com,1,Combo-squat: gmail
640gmail.com,1,Combo-squat: gmail
641gmail.com,1,Combo-squat: gmail
644gmail.com,1,Combo-squat: gmail
645gmail.com,1,Combo-squat: gmail
646gmail.com,1,Combo-squat: gmail
648gmail.com,1,Combo-squat: gmail
649gmail.com,1,Combo-squat: gmail
64gmail.com,1,Combo-squat: gmail
651gmail.com,1,Combo-squat: gmail
652gmail.com,1,Combo-squat: gmail
654gmail.com,1,Combo-squat: gmail
655gmail.com,1,Combo-squat: gmail
656gmail.com,1,Combo-squat: gmail
657gmail.com,1,Combo-squat: gmail
65gmail.com,1,Combo-squat: gmail
663gmail.com,1,Combo-squat: gmail
665gmail.com,1,Combo-squat: gmail
6666gmail.com,1,Combo-squat: gmail
666gmail.com,1,Combo-squat: gmail
667gmail.com,1,Combo-squat: gmail
668gmail.com,1,Combo-squat: gmail
671gmail.com,1,Combo-squat: gmail
672gmail.com,1,Combo-squat: gmail
673gmail.com,1,Combo-squat: gmail
675gmail.com,1,Combo-squat: gmail
676gmail.com,1,Combo-squat: gmail
678gmail.com,1,Combo-squat: gmail
67gmail.com,1,Combo-squat: gmail
683gmail.com,1,Combo-squat: gmail
684gmail.com,1,Combo-squat: gmail
687gmail.com,1,Combo-squat: gmail
689gmail.com,1,Combo-squat: gmail
68gmail.com,1,Combo-squat: gmail
693gmail.com,1,Combo-squat: gmail
694gmail.com,1,Combo-squat: gmail
6969gmail.com,1,Combo-squat: gmail
697gmail.com,1,Combo-squat: gmail
698gmail.com,1,Combo-squat: gmail
699gmail.com,1,Combo-squat: gmail
69gmail.com,1,Combo-squat: gmail
6gmail.co.com,1,Combo-squat: gmail
7.1.gmail.com.gmail.com.5.01.cad.edu.gr,1,Combo-squat: gmail
700gmail.com,1,Combo-squat: gmail
701gmail.com,1,Combo-squat: gmail
702gmail.com,1,Combo-squat: gmail
706gmail.com,1,Combo-squat: gmail
707gmail.com,1,Combo-squat: gmail
708gmail.com,1,Combo-squat: gmail
709gmail.com,1,Combo-squat: gmail
70gmail.com,1,Combo-squat: gmail
710gmail.com,1,Combo-squat: gmail
713gmail.com,1,Combo-squat: gmail
715gmail.com,1,Combo-squat: gmail
716gmail.com,1,Combo-squat: gmail
718gmail.com,1,Combo-squat: gmail
719gmail.com,1,Combo-squat: gmail
71gmail.com,1,Combo-squat: gmail
720gmail.com,1,Combo-squat: gmail
721gmail.com,1,Combo-squat: gmail
72229rohrdorf.gmail.deail.com,1,Combo-squat: gmail
723gmail.com,1,Combo-squat: gmail
727gmail.com,1,Combo-squat: gmail
728gmail.com,1,Combo-squat: gmail
72gmail.com,1,Combo-squat: gmail
730gmail.com,1,Combo-squat: gmail
733gmail.com,1,Combo-squat: gmail
735gmail.com,1,Combo-squat: gmail
738gmail.com,1,Combo-squat: gmail
739gmail.com,1,Combo-squat: gmail
73gmail.com,1,Combo-squat: gmail
743gmail.com,1,Combo-squat: gmail
745gmail.com,1,Combo-squat: gmail
747gmail.com,1,Combo-squat: gmail
74gmail.com,1,Combo-squat: gmail
755gmail.com,1,Combo-squat: gmail
