ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
194.127.167.67,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
194.127.167.87,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
194.127.167.107,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.188.61.195,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.188.61.225,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.253.99.30,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.253.99.98,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
45.134.213.194,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
45.134.213.207,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
135.136.16.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-07-21,2026-08-06,true
135.136.4.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-07-21,2026-08-06,true
193.19.207.195,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.19.207.225,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.138.7.132,,mullvad,AS50304,"BLIX - Blix Solutions AS, NO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
