ASN,Name,Country
AS151338,"POLONETWORK-AS-AP POLONETWORK LIMITED, HK",
AS4977,"VENCORESS, US",
AS54329,"SUMOFIBER-54329, US",
AS4470,"ASN-CITENET, CA",
AS204957,"GREENFLOID-AS, US",
AS210731,DOTSRC - Forening for DotSrc,
AS56803,"AS-DATASOURCE, CH",
AS14155,"RURAL-TELEPHONE-SVCCO, US",
AS877,GONET-ASN-17,
AS29134,"IGNUM-AS Czech Republic, CZ",
AS3379,"KAISER-NCAL, US",
AS12824,"HOMEPL-AS, PL",
AS33083,"AXCELX-NET, US",
AS29,YALE-AS,
AS4764,"WIDEBAND-AS-AP Aussie Broadband, AU",
AS36352,"AS-COLOCROSSING, US",US
AS49453,"GLOBALLAYER, NL",
AS49770,"INTERNETPORT-AS, SE",
AS6724,"STRATO STRATO AG, DE",
AS39948,"INIT-PHX, US",
AS4224,CALYX-AS,
AS897,TURTLE-ROCK-STUDIOS,
AS174,"COGENT-174, US",
AS37,DNIC-AS-00037,
AS20523,Invitech ICT Services Kft.,
AS39585,"RADIO-CONTINENTAL-AS, RU",
AS33490,COMCAST-33490,
AS1983,BERNALILLO,
AS48635,"CLDIN-NL Your Hosting B.V. part of Your.Online, NL",
AS210079,"EUROBYTE, RU",
AS211857,"NSHOST, RO",
AS44176,"ASVNEXT, SE",
AS199087,"KASENET, FI",
AS209696,"NILSAT, BG",
AS49601,"UNITEL-MEDIA, PL",
AS40029,NOVUS-3,
AS17931,"NETFOREST Netforest,Inc., JP",JP
AS15958,"CETIN_DOO_AS CETINdoo-NET, RS",RS
AS60602,"INOVARE-AS str. Uzinelor 21 of. 37, MD",
AS50360,TAMATIYA-AS - Tamatiya EOOD,
AS39622,ZERGRUSH - ZERGRUSH SRL,
AS34779,"T-2-AS AS set propagated by T-2 d.o.o., SI",
AS48927,"ESEVEN, DE",
AS45250,VOCOM-AP-AS Vocom International Telecommunications AP Area,
AS37680,"COOL-IDEAS, ZA",
AS35426,"NEXTMAP, FR",
AS6142,"SUN-JAVA, US",
AS1411,"CHRISTOPHER-NEWPORT-UNIVERSITY, US",
AS200713,"FREY-AS, CH",
AS292,"ESNET-WEST, US",
AS3470,"DNIC-AS-03470, US",US
AS33652,"CMCS, US",
AS149440,"EVOXTENTERPRISE-AS-AP Evoxt Enterprise, MY",
AS206238,"FREEDOMINTERNET, NL",NL
AS20804,"ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL",
AS17356,"VERMONT-TELE, US",
AS55286,"SERVER-MANIA, CA",
AS42708,"GLESYS glesys.com, SE",
AS13037,"ZEN-AS Zen Internet - UK, GB",
AS56380,"AS-ITFRUIT, MD",
AS16735,ALGAR TELECOM SA,
AS19045,"DIRECTCOM, US",
AS201146,"LOPNET, SE",
AS852,"TELUS Communications, CA",
AS3213,"BOGONS-ASN, GB",
AS24800,"BORNFIBER, DK",
AS61998,SZERVERPLEXHU - SzerverPlex.hu KFT.,
AS20860,"IOMART-AS, GB",
AS51177,"THCPROJECTS, RO",
