ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
104.21.73.234,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.75.10,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.75.151,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.75.157,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.75.60,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.77.179,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.77.31,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.77.5,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.78.91,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.79.110,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.79.133,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.79.140,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.106,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.143,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.169,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.204,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.235,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.66,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.8.89,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.80.62,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.80.69,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.80.75,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.80.89,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.81.17,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.81.216,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.82.151,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.82.211,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.83.113,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.85.10,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.85.148,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.85.155,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.85.39,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.86.109,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.87.104,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.87.159,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.87.181,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.88.230,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.88.39,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.9.30,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.90.235,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.91.226,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.91.229,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.91.234,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.91.31,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.92.54,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.93.110,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.93.148,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.94.208,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.94.28,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.95.87,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.96.144,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.96.25,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.96.34,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.96.63,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.219.250.37,dea_domains_probed.csv,AS22612,False,,False,,,2026-08-25
104.245.12.124,dea_domains_probed.csv,AS6233,False,,False,,,2026-08-25
104.247.81.99,dea_domains_probed.csv,AS206834,False,,False,,,2026-08-25
104.26.0.102,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.26.0.161,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.26.11.251,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.26.4.165,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.26.5.148,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.26.6.14,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
107.152.38.21,known_campaign_ips.txt,AS11878,False,,False,,,2026-08-23
107.161.23.204,dea_domains_probed.csv,AS3842,False,,False,,,2026-08-25
107.167.187.182,dea_domains_probed.csv,AS396982,False,,False,,,2026-08-25
