ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
206.212.255.117,surfshark,confirmed,US,Detroit,wireguard,AS13737,"AS-INCX - Interconnecx, LLC, US",surfshark_api+dns,2026-07-05,us-dtw.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-07-05,2026-07-05,true
185.141.119.104,surfshark,confirmed,US,Detroit,wireguard,AS207990,"HR-CUSTOMER - HostRoyale Technologies Pvt Ltd, IN",surfshark_api+dns,2026-07-05,us-dtw.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-08,2026-07-05,true
89.222.103.116,surfshark,confirmed,US,Atlanta,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",surfshark_api+dns,2026-07-05,us-atl.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-12,2026-07-05,true
92.119.19.64,surfshark,confirmed,US,Atlanta,wireguard,AS62240,"Clouvider - Clouvider Limited, GB",surfshark_api+dns,2026-07-05,us-atl.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-17,2026-07-05,true
216.227.218.41,surfshark,confirmed,US,Charlotte,wireguard,AS397423,"TIER-NET - Tier.Net Technologies LLC, US",surfshark_api+dns,2026-07-05,us-clt.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-10,2026-07-05,true
172.216.9.23,surfshark,confirmed,US,Charlotte,wireguard,AS209854,"Cyberzonehub - Cyberzone S.A., PA",surfshark_api+dns,2026-07-05,us-clt.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-19,2026-07-05,true
172.93.148.173,surfshark,confirmed,US,Buffalo,wireguard,AS20278,"NEXEON - Nexeon Technologies, Inc., US",surfshark_api+dns,2026-07-05,us-buf.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-14,2026-07-05,true
172.93.148.179,surfshark,confirmed,US,Buffalo,wireguard,AS20278,"NEXEON - Nexeon Technologies, Inc., US",surfshark_api+dns,2026-07-05,us-buf.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-05-10,2026-07-05,true
185.156.46.107,surfshark,confirmed,US,Ashburn,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",surfshark_api+dns,2026-07-05,us-ash.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-06-17,2026-07-05,true
151.240.254.12,surfshark,confirmed,US,Ashburn,wireguard,AS209854,"Cyberzonehub - Cyberzone S.A., PA",surfshark_api+dns,2026-07-05,us-ash.prod.surfshark.com,Public API + DNS,General VPN coverage,unknown,,5,contextual,5,contextual,VPN-013,2026-07-05,2026-07-05,true
