ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
118.68.181.95,vpngate,confirmed,VN,,openvpn,AS18403,"FPT-VN - FPT Telecom Company, VN",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
31.200.224.121,vpngate,confirmed,RU,,openvpn,AS196949,"PODRYAD-AS - Natalia Sergeevna Filicheva, RU",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-08-10,2026-09-24,true
171.4.241.164,vpngate,confirmed,TH,,openvpn,AS45758,"TTBP-AS-AP - Triple T Broadband Public Company Limited, TH",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
27.130.67.40,vpngate,confirmed,TH,,openvpn,AS133481,"AIS-Fibre-AS-AP - AIS Fibre, TH",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
31.22.93.46,vpngate,confirmed,SE,,openvpn,AS30893,"NOACKHOSTING-AS - No ACK Group Holding AB, SE",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
14.47.49.77,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
77.35.154.5,vpngate,confirmed,RU,,openvpn,AS12389,"ROSTELECOM-AS - PJSC Rostelecom, RU",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
101.235.81.130,vpngate,confirmed,KR,,openvpn,AS10036,"CNM-AS-KR-KR - DLIVE, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-07-05,2026-09-24,true
116.44.113.68,vpngate,confirmed,KR,,openvpn,AS17858,"POWERVIS-AS-KR-KR - LG POWERCOMM, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-05-18,2026-09-24,true
175.209.216.144,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
220.118.9.100,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
221.153.128.16,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
118.218.150.21,vpngate,confirmed,KR,,openvpn,AS9318,"SKB-AS-KR - SK Broadband Co Ltd, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-07-04,2026-09-24,true
39.114.19.36,vpngate,confirmed,KR,,openvpn,AS9318,"SKB-AS-KR - SK Broadband Co Ltd, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-07,2026-09-24,true
211.105.98.245,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
42.113.38.70,vpngate,confirmed,VN,,openvpn,AS18403,"FPT-VN - FPT Telecom Company, VN",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
59.10.57.184,vpngate,confirmed,KR,,openvpn,AS4766,"KIXS-AS-KR-KR - Korea Telecom, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-06,2026-09-24,true
185.33.231.195,vpngate,confirmed,RU,,openvpn,AS58096,"Elit-TV-AS - Viter Evgeniy Vasilevich, RU",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
58.78.243.16,vpngate,confirmed,KR,,openvpn,AS3786,"LGDACOM-KR - LG DACOM Corporation, KR",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
133.175.176.64,vpngate,confirmed,JP,,openvpn,AS2519,"VECTANT - ARTERIA Networks Corporation, JP",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-08-29,2026-09-24,true
37.131.216.201,vpngate,confirmed,RU,,openvpn,AS48524,"INTERRA-AS - INTERRA telecommunications group, Ltd., RU",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-09-24,2026-09-24,true
87.225.107.25,vpngate,confirmed,RU,,openvpn,AS12389,"ROSTELECOM-AS - PJSC Rostelecom, RU",vpngate_api,2026-09-24,,Public CSV API,"Censorship circumvention; volunteer-run, dynamic IPs",unknown,,5,contextual,5,contextual,VPN-027,2026-05-24,2026-09-24,true
