ip,port,org,asn,Name,country,city,hostnames,product,version,os,transport,has_auth,risk_level,query_source,discovered_at,shodan_total,data_snippet,is_corporate,matched_org,first_seen,last_seen,days_exposed
43.156.54.111,18789,"Asia Pacific Network Information Center, Pty. Ltd.",AS132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",Singapore,Singapore,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908744+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.91.55,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908761+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
8.215.79.59,18789,Alibaba Cloud (Singapore) Private Limited,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",Indonesia,Jakarta,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908767+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
95.140.146.47,18789,lease for Timeweb,AS9123,"TIMEWEB-AS, RU",Netherlands,Amsterdam,5955819-zw801184.twc1.net,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908772+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.190.224,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908776+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
43.139.23.240,18789,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",China,Guangzhou,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908781+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
125.71.97.120,18789,CHINANET Sichuan province network,AS38283,"CHINANET-SCIDC-AS-AP CHINANET SiChuan Telecom Internet Data Center, CN",China,Chengdu,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908786+00:00,0,"HTTP/1.1 200 OK
 Content-Type: text/html; charset=",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.149.205,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908791+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
159.54.186.145,18789,Oracle Corporation,AS31898,"ORACLE-BMC-31898 - Oracle Corporation, US",United States,San Jose,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908796+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.59.228,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908801+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
65.49.235.109,18789,IT7 Networks Inc,AS25820,"IT7NET - IT7 Networks Inc, CA",Canada,Vancouver,65.49.235.109.16clouds.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908807+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
101.32.245.114,18789,ACEVILLE PTE.LTD.,AS132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",Singapore,Singapore,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908811+00:00,0,"HTTP/1.1 200 OK
 Content-Type: text/html; charset=",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
38.55.129.87,18789,PEG TECH INC,AS54600,PEG-SV - PEG TECH INC,United States,San Jose,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908816+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
188.245.45.42,18789,Hetzner Online GmbH,AS24940,"HETZNER-AS, DE",Germany,Nürnberg,static.42.45.245.188.clients.your-server.de,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908822+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
180.76.229.62,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908826+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
154.85.49.148,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS55967,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd., CN",Hong Kong,Tseung Kwan O,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908831+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-22T14:24:58.240235+00:00,3
123.60.12.16,18789,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),AS55990,"HWCSNET Huawei Cloud Service data center, CN",China,Shanghai,ecs-123-60-12-16.compute.hwclouds-dns.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908836+00:00,0,"HTTP/1.1 200 OK
 Content-Type: text/html; charset=",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
43.228.214.174,18789,"Atlantic.Net, Inc.",AS6364,"ATLANTIC-NET-1 - Atlantic.net, Inc., US",Singapore,Singapore,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908840+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.48.214,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908845+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.182.171,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908849+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
85.137.246.94,18789,ONO_HFC,AS6739,"ONO-AS Cableuropa - ONO, ES",Spain,Málaga,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908854+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.184.242,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908863+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.13.176.198,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908867+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.50.194,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908872+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
74.211.111.11,18789,Cluster Logic Inc,AS25820,"IT7NET - IT7 Networks Inc, CA",United States,Los Angeles,74.211.111.11.16clouds.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908877+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
106.12.34.90,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Nanjing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908881+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
