domain,ip,shodan_ip,ports,vulns,tags,hostnames,os,priority,reason
chasey.com,103.224.182.246,103.224.182.246,80;443,,,minusculeconvivialstructure.online;vxj.de;animeninua.online;smilitygorb.club;sneakers.bet;marketsayswhat.net;barcelonaonline.com;printmanual.site;grandpamango.com;torrentzota54.com;btcbw.com;trublue.com;amzastudio.site;iscrapfloors.com;stovercheats.space;lb-182-246.above.com;bingo4d.xyz;iprotektfoundation.org;hyzmart.site;autocash24.xyz;freddcreditreport.com;livegame24h.com;rtpbosku2024.com;cddvdgpsbmw.com;gotasfluxx.com,,1,Combo-squat: chase
chatgpt.justgoodapp.com,104.26.5.81,104.26.5.81,8080;2082;2083;2052;2086;2087;2095;80;8880;8443;443,,cdn,,,1,Combo-squat: chatgpt
chatgpt.all-app.top,,104.18.7.11,,,,,,1,Combo-squat: chatgpt
chatgpt7.com,,47.99.118.11,,,,,,1,Combo-squat: chatgpt
chatgpt6.com,154.201.72.123,154.201.72.123,80;3000;443,CVE-2023-44487;CVE-2025-23419,eol-product,www.yougeshareac.com;yougeshareac.com,Ubuntu,1,Combo-squat: chatgpt
chatgpto.com,,103.116.244.197,,,,,,1,Combo-squat: chatgpt
chatgpts.com,207.211.166.201,207.211.166.201,80;443,,cloud,search.com,,1,Combo-squat: chatgpt
cheapcryptomail.online,162.0.209.68,162.0.209.68,80;443;21,CVE-2018-14040;CVE-2018-14042;CVE-2016-10735;CVE-2019-8331;CVE-2018-20676;CVE-2018-20677,,www.onlinetrziste.com;business86-5.web-hosting.com;onlinetrziste.com;mail.onlinetrziste.com,,1,Combo-squat: crypto
chatgpth.com,104.16.211.68,104.16.211.68,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: chatgpt
chatgptg.com,104.16.210.68,104.16.210.68,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,www.suthisa.com,,1,Combo-squat: chatgpt
chatgptx.com,,104.26.0.240,,,,,,1,Combo-squat: chatgpt
chrome.google.com,142.251.32.14,142.251.32.14,80;443,,self-signed,ord38s33-in-f14.1e100.net;ncorda-am-in-f14.1e100.net,,1,Combo-squat: google
choose.anthem.com,,23.200.156.8,,,,,,1,Combo-squat: anthem
