domain,priority,reason,flame_tp_ids
gmil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmkail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmlail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmpail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmqail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmqil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmsail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmsil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gmwail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gmzil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gnail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
gnmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
goail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
googlee.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
googlet.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
googli.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
gtmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
hubsp0t.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 85),TP-0012
idrn.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
liquad.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
mta.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
olympuscapital.org,0,FP-0003: Crypto/Finance Fraud Co-hosting (conf: 70),TP-0017
pple.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
progrdessive.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
progressi8ve.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
