domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
3hopify.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
3jf.cn,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
3lack.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
3levancehealth.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
3nsoze.tcslco.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
3nsoze.tcslco.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
3oom.us,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
3potify.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
3trade.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
3wellsfargo.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
3y.lol,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
3y.lol,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
3zoom.us,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
401q.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
43.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
43.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~h-email.net
443.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
44s.como.com.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
44s.como.com.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
44xs.como.com.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
44xs.como.com.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
453.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
4auction.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
4birthday.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
4birthday.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
4d.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
4education.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
4etrade.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
4exodus.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
4gadgets.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
4gadgets.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
4hotel.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
4levancehealth.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
4nmv.ru,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
4nmv.ru,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
4s.como.com.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
