ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
103.118.241.225,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.230,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.238,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.243,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.245,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.253,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.241.48,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.118.247.157,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-26
103.118.28.45,dea_domains_probed.csv,AS150834,False,,False,,,2026-08-23
103.118.29.24,dea_domains_probed.csv,AS150834,False,,False,,,2026-08-23
103.119.0.104,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.105,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.113,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.134,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.140,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.245,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.0.32,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
103.119.12.5,dea_domains_probed.csv,AS140869,False,,False,,,2026-08-23
103.119.217.23,dea_domains_probed.csv,,False,,False,,,2026-08-23
103.119.217.46,dea_domains_probed.csv,,False,,False,,,2026-08-23
103.119.44.57,dea_domains_probed.csv,AS135330,False,,True,RDP,3389:RDP(port),2026-08-23
103.12.148.113,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
103.12.148.93,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-23
103.12.31.83,dea_domains_probed.csv,AS55670,False,,False,,,2026-08-23
103.12.76.55,dea_domains_probed.csv,AS140825,False,,False,,,2026-08-23
103.120.124.20,dea_domains_probed.csv,AS138117,False,,False,,,2026-08-23
103.120.6.127,vpn_relay_ips.csv,AS138014,False,,False,,,2026-08-23
103.120.6.2,vpn_relay_ips.csv,AS138014,False,,False,,,2026-08-23
103.120.80.111,dea_domains_probed.csv,AS139021,False,,False,,,2026-08-23
103.120.80.249,dea_domains_probed.csv,AS139021,False,,False,,,2026-08-23
103.121.88.249,dea_domains_probed.csv,AS135967,False,,False,,,2026-08-23
103.121.88.43,dea_domains_probed.csv,AS135967,False,,False,,,2026-08-23
103.121.90.251,dea_domains_probed.csv,AS135967,False,,False,,,2026-08-23
103.122.245.181,dea_domains_probed.csv,AS55423,False,,False,,,2026-08-23
