ASN,Name,Country,Source,Registry,Alloc_Date,Service
AS398791,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398792,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS398793,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS398794,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS40021,"CONTABO-40021 - Contabo Inc., US",US,VPN/VPS,arin,2023-05-16,CONTABO-40021
AS400475,"NUCLEARFALLOUT-DAL - Nuclearfallout Enterprises, Inc., US",US,VPN/VPS,arin,2022-02-22,NUCLEARFALLOUT-DAL
AS400746,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400747,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS400748,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400749,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS400750,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400751,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400752,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400753,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400754,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2022-05-27,GO-DADDY-COM-LLC
AS400755,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2022-05-27,GO-DADDY-COM-LLC
AS401263,"NUCLEARFALLOUT-NYC - Nuclearfallout Enterprises, Inc., US",,VPN/VPS,,,NUCLEARFALLOUT-NYC
AS40476,"SCALAHOSTING - Scala Hosting LLC, US",,VPN/VPS,,,SCALAHOSTING
AS40676,"AS40676 - Psychz Networks, US",,VPN/VPS,,,AS40676
AS40819,"VPSDATACENTER - Liquid Web, L.L.C, US",,VPN/VPS,,,VPSDATACENTER
AS41436,"CLOUDWEBMANAGE-EU, US",,VPN/VPS,,,CLOUDWEBMANAGE-EU
AS41564,"AS41564, GB",GB,VPN/VPS,ripencc,2017-07-20,AS41564
AS42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB",GB,VPN/VPS,ripencc,2007-04-24,UKSERVERS
AS43289,"TRABIA, MD",,VPN/VPS,,,TRABIA
AS43350,"NFORCE, NL",,VPN/VPS,,,NFORCE
AS43357,"OWL Owl Limited, VU",,VPN/VPS,,,OWL
AS43513,"NANO-AS, LV",,VPN/VPS,,,NANO
AS45090,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",,VPN/VPS,,,TENCENT-NET-AP
AS45382,"EHOSTIDC-AS-KR Hostcenter, KR",,VPN/VPS,,,EHOSTIDC-AS-KR
AS45899,"VNPT-AS-VN VNPT Corp, VN",,VPN/VPS,,,VNPT-AS-VN
AS46407,"AS-VULTR3 - The Constant Company, LLC, US",,VPN/VPS,,,VULTR3
AS46516,"GLOBEIX - HostRoyale LLC, US",,VPN/VPS,,,GLOBEIX
AS46562,"PERFORMIVE - Performive LLC, US",,VPN/VPS,,,PERFORMIVE
AS46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",,VPN/VPS,,,UNIFIEDLAYER-AS-1
AS46805,"AS-46805, SC",SC,VPN/VPS,ripencc,2012-11-21,46805
AS46844,"SHARKTECH - Sharktech, US",,VPN/VPS,,,SHARKTECH
AS47583,"AS-HOSTINGER, CY",CY,VPN/VPS,ripencc,2011-04-04,HOSTINGER
AS4766,"KIXS-AS-KR Korea Telecom, KR",KR,VPN/VPS,apnic,1996-04-22,KIXS-AS-KR
AS47810,"PROSERVICE, GE",,VPN/VPS,,,PROSERVICE
AS4785,"XTOM-AS-JP xTom, JP",JP,VPN/VPS,apnic,2018-02-22,XTOM-AS-JP
AS48337,"LINODE-AS, US",,VPN/VPS,,,LINODE
AS48950,"GLOBALCOLOCATION, GB",,VPN/VPS,,,GLOBALCOLOCATION
AS49453,"GLOBALLAYER, NL",,VPN/VPS,,,GLOBALLAYER
AS49581,"FERDINANDZINK, DE",DE,VPN/VPS,ripencc,2022-03-07,FERDINANDZINK
AS49981,"WORLDSTREAM, NL",,VPN/VPS,,,WORLDSTREAM
AS50304,"BLIX, NO",,VPN/VPS,,,BLIX
AS51167,"CONTABO, DE",,VPN/VPS,,,CONTABO
AS51430,ALTUS - AltusHost B.V.,,VPN/VPS,,,
AS51747,"INTERNETBOLAGET, SE",,VPN/VPS,,,INTERNETBOLAGET
AS51765,"CREANOVA-AS Oy Creanova Hosting Solutions Ltd., FI",,VPN/VPS,,,CREANOVA
AS51852,"PLI-AS, PA",,VPN/VPS,,,PLI
AS51862,"IONOS-AS, DE",,VPN/VPS,,,IONOS
AS52423,"Data Miners S.A. Racknation.cr , CR",,VPN/VPS,,,Data
AS53013,UFINET BRASIL S.A.,,VPN/VPS,,,
AS53667,"PONYNET - FranTech Solutions, US",,VPN/VPS,,,PONYNET
AS53824,"LIQUIDWEB - Liquid Web, L.L.C, US",,VPN/VPS,,,LIQUIDWEB
AS53850,"GORILLASERVERS - GorillaServers, Inc., US",,VPN/VPS,,,GORILLASERVERS
AS54265,"SCALEWAY - SCALEWAY US CORPORATION, US",,VPN/VPS,,,SCALEWAY
AS54290,"HOSTWINDS - Hostwinds LLC., US",,VPN/VPS,,,HOSTWINDS
AS54641,"IMH-IAD - InMotion Hosting, Inc., US",,VPN/VPS,,,IMH-IAD
