ASN,Name,Country
AS48374,"GOBLER-AS, DK",DK
AS44489,"STARNET, CZ",CZ
AS20740,"MESSEFFM Ludwig-Erhard-Anlage 1, DE",DE
AS19770,"PHOENIXCONTACTSERVICES-, US",US
AS364,"DNIC-ASBLK-00306-00371, US",US
AS29551,"HGCOMP-ASN, DE",DE
AS945,"JP-77-20220621 MARU, JP",JP
AS208476,"-Reserved AS-, ZZ",
AS46841,"FORKNETWORKING, US",US
AS9105,"TISCALI-UK TalkTalk Communications Limited, GB",GB
AS21473,"PFALZKOM Pfalzkom GmbH, DE",
AS30058,"FDCSERVERS, US",
AS5645,"TEKSAVVY, CA",
AS194,"NCAR-AS, US",
AS45007,"VIPNET, BG",
AS24757,"EthioNet-AS, ET",
AS20114,KEATING,
AS2505,HEPNET-J High Energy Accelerator Research Organization,
AS268482,"Connect Telecomunicacoes LTDA, BR",
