ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS135085,"HOSTWINDSLLC-AS-AP Hostwinds LLC, US",US,Unknown,False,
AS135340,"DIGITALOCEAN-AS-IN Digital Ocean, Inc., US",US,Unknown,False,
AS13537,"MEGACOLO - Mega Colocation, Inc., US",US,Unknown,False,
AS135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,Unknown,False,
AS13541,"SIEMENS-DISW-WIV-B-ORW - Siemens Industry Software Inc., US",US,Unknown,False,
AS135411,"REDGRAPESPTELTD-AS-AP Red Grapes Pte Ltd, SG",SG,Unknown,False,
AS135822,"HOSRAJA-AS Ovi Hosting Pvt Ltd, IN",IN,Unknown,False,
AS1360,"MEWS-04 - Mayfield Electric & Water Systems, US",US,Unknown,False,
AS136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,False,
AS136258,"ONEPROVIDER-AS BrainStorm Network, Inc, CA",CA,Unknown,False,
AS13647,"NETACTUATE - NetActuate, Inc, US",US,Unknown,False,
AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",AU,Unknown,False,
AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",PA,Unknown,False,
AS13692,"DFN-ASN-1 - Douglas FastNet, US",US,Unknown,False,
AS13693,"NTS-ONLINE - Vexus Fiber, US",US,Unknown,False,
AS137085,"ANI89-AS-IN ANONET COMMUNICATIONS PVT LTD, IN",IN,Unknown,False,
AS13739,"DATACENTER-IP - Datacenter IP, LLC, US",US,Unknown,False,
AS137409,"GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU",AU,Unknown,False,
AS13744,"THP-BGP - TYNDALE HOUSE PUBLISHERS, US",US,Unknown,False,
AS137443,"CHANGLIAN-AS-AP ChangLian Network Technology Co., Limited, HK",HK,Unknown,False,
AS138,"DNIC-AS-00138 - United States Department of Defense DoD, US",US,Unknown,False,
AS1380,"MCVEAN - McVEAN Trading & Investments, LLC, US",US,Unknown,False,
AS13806,"NCRCORP - NCR Voyix Corporation, US",US,Unknown,False,
AS138062,"IDNIC-PAAS-AS-ID PT. Awan Kilat Semesta, ID",ID,Unknown,False,
AS13909,"TECHIEMEDIA - Techie Hosting, Inc., US",US,Unknown,False,
AS13926,"NETPROTECT-PHX - Strong Technology, LLC., US",US,Unknown,False,
AS13955,"ECHO-UPLINKDATA-COM - Echostar Broadcasting Corporation, US",US,Unknown,False,
AS13977,"CTELCO - Fidium, US",US,Unknown,False,
AS14007,"SOHOSKYWAY1 - Skyway West, CA",CA,Unknown,False,
AS1403,"EBOX - EBOX, CA",CA,Unknown,False,
AS140599,"COMFACCORPORATION-AS-AP COMFAC CORPORATION, PH",PH,Unknown,False,
AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",US,Unknown,False,
AS1407,"QUOTEMEDIA - Quotemedia, US",US,Unknown,False,
AS14078,"VOICENETPULSE-TELECOM - Voicenetpulse Telecom Inc., CA",CA,Unknown,False,
AS140787,"LAMA-AS-VN LAM A ARCHITECTURE CONSTRUCTION COMPANY LIMITED, VN",VN,Unknown,False,
AS141039,"PACKETHUBSA-AS-AP PacketHub S.A., PA",PA,Unknown,False,
AS1411,"CHRISTOPHER-NEWPORT-UNIVERSITY - Christopher Newport University, US",US,Unknown,False,
AS14117,"Telefonica del Sur S.A., CL",CL,Unknown,False,
AS14120,"ONEZERO-AS - oneZero Financial Systems, LLC, US",US,Unknown,False,
AS14127,"ILAND - Iland Internet Solutions Corporation, US",US,Unknown,False,
AS1415,"CHNETWORK - Christus Health, US",US,Unknown,False,
AS14155,"RURAL-TELEPHONE-SVCCO - Rural Telephone Service Co, Inc., US",US,Unknown,False,
AS14160,"PREMIUMTELECOM - Premium Hosting, Inc., US",US,Unknown,False,
AS14196,"YAHOO-CHA - Yahoo Holdings Inc., US",US,Unknown,False,
AS141968,"IDNIC-IKADA-AS-ID PT Industri Kreatif Digital, ID",ID,Unknown,False,
AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",SG,Unknown,False,
AS1420,"STL-C9D - STL OFFICE SOLUTIONS, INC., US",US,Unknown,False,
AS14203,"JUNIPER-NETWORKS - Juniper Networks, Inc., US",US,Unknown,False,
AS142036,"HOSTEONS-AS-AP Hosteons Pte. Ltd., SG",SG,Unknown,False,
AS14244,"AS-NSI-GLOBAL - NSI Hosting, US",US,Unknown,False,
AS14277,"GIGSTREEM - GiGstreem, US",US,Unknown,False,
AS14384,"HOSTDESIGNS - HOST DESIGNS, LLC, US",US,Unknown,False,
